,donorName,dataset,inconclusive,donorTau,totalNumberOfCells,totalNumberOfDeterminedCells,totalNumberOfUndeterminedCells,skewed
135,AIDA141,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f319,FALSE,0.448700224,1616,901,715,FALSE
136,AIDA143,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f320,TRUE,0.649842493,1789,639,1150,TRUE
137,AIDA144,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f321,FALSE,0.479344736,1587,925,662,FALSE
138,AIDA145,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f322,FALSE,0.451978639,2427,1626,801,FALSE
139,AIDA146,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f323,FALSE,0.297890986,1745,1491,254,TRUE
140,AIDA147,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f324,FALSE,0.421875665,2053,1245,808,FALSE
141,AIDA148,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f325,TRUE,0.293038416,1631,1259,372,TRUE
142,AIDA149,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f326,TRUE,0.647170626,1459,650,809,TRUE
143,AIDA150,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f327,TRUE,0.240964393,756,541,215,TRUE
144,AIDA151,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f328,FALSE,0.361065649,2003,1069,934,TRUE
145,AIDA152,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f329,FALSE,0.662472971,1272,684,588,TRUE
146,AIDA153,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f330,FALSE,0.483748504,2087,1297,790,FALSE
147,AIDA154,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f331,TRUE,0.412558583,1628,508,1120,FALSE
