"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","neg_logPval","donorName","meta_p_value","max_log2FC","count","adjusted_meta_p_value"
"106","AC000403.1",0.0241722818441765,-3.7572174347713,0,0.014,1,1.61668235060358,"AIDA084",0.0241722818441765,-3.7572174347713,1,0.0383313164514776
"108","AC002074.1",0.0241722818441765,-3.87577023911881,0,0.014,1,1.61668235060358,"AIDA084",0.0302412061714223,-3.87577023911881,2,0.0461157680959278
"109","AC002091.1",0.00163586809493487,4.63198162377411,0.014,0,1,2.78625171774991,"AIDA002",0.00163586809493487,4.63198162377411,1,0.00444902224730228
"111","AC002094.2",0.806694482543196,0.257114293653806,0.013,0.011,1,0.0932909134416133,"AIDA125",0.00646518778956648,-6.2891761068526,10,0.0131827845225607
"112","AC002094.4",0.0241722818441765,-3.73628065729001,0,0.014,1,1.61668235060358,"AIDA084",0.0115810373230826,-3.73628065729001,4,0.0210496536752166
"113","AC002116.2",0.135669253965486,2.19629879606707,0.014,0,1,0.867518563143932,"AIDA015",4.89064692065792e-06,-4.20104580896685,63,3.82936867609875e-05
"114","AC002306.1",0.33860571341659,1.42322824149742,0.014,0,1,0.470305718157492,"AIDA174",0.0183501822772152,3.54624499129876,7,0.0306350073650209
"115","AC002310.1",0.943741138592363,-0.51487190348758,0.014,0.016,1,0.0251471132207754,"AIDA062",0.0244502984122852,-3.13153703614836,100,0.0387248236662016
"117","AC002377.1",0.33860571341659,1.32733450220045,0.014,0,1,0.470305718157492,"AIDA174",0.00969789580933108,-4.31712868226894,3,0.0183564621319062
"120","AC002460.2",0.19814848230019,-1.63751538937591,0,0.01,1,0.70300924975511,"AIDA057",0.0271530299721261,-3.00332947402382,9,0.0421723811597695
"121","AC002464.1",0.000121661425064617,4.86343483308392,0.018,0,1,3.91484710079374,"AIDA066",0.000121661425064617,4.86343483308392,1,0.000563769320096053
"122","AC002467.1",0.2041175348448,0.917206668145067,0.022,0.01,1,0.690119685341595,"AIDA155",0.0295619998111873,-3.93530597266505,92,0.0452749464089418
"128","AC003070.1",0.717121769037754,-0.579592711925084,0.006,0.01,1,0.144407093800784,"AIDA122",0.00184668278170399,4.51055361990382,4,0.00491532002601113
"129","AC003086.1",0.19814848230019,-1.53410822054181,0,0.01,1,0.70300924975511,"AIDA057",0.00101034300931826,-4.63309275016941,6,0.00308261427792154
"135","AC004069.1",0.171231551913116,1.39515222220946,0.012,0.003,1,0.766416207186846,"AIDA017",0.000474669466442239,-4.62804684557966,26,0.00169390655353751
"139","AC004223.4",0.0847328677753093,-3.01653650163319,0,0.029,1,1.07194809469172,"AIDA188",0.00676060592295686,-3.75808588363769,2,0.0136690425565593
"141","AC004241.3",0.0574077928829482,3.35214442330264,0.017,0,1,1.24102914982603,"AIDA149",0.020999320391551,3.35214442330264,3,0.0342705671900649
"142","AC004253.1",0.139614926338326,1.34619539176562,0.017,0.006,1,0.855068148476202,"AIDA024",0.00346193804786441,-4.14335777967601,32,0.00810211618337897
"145","AC004466.1",0.0523815478873973,2.5495712976024,0.011,0.002,1,1.28082167221429,"AIDA014",0.013104957411963,-2.88880513583135,15,0.0233438803243206
"148","AC004477.1",0.397779092670339,0.894005447327205,0.024,0,1,0.400358047195798,"AIDA172",0.00019559011726813,3.49667445689086,29,0.000830671697078796
"150","AC004492.1",0.549383401919999,-0.106514870567818,0.012,0,1,0.26012446570804,"AIDA146",2.75420860942918e-05,-3.86935844023109,26,0.000166836871642692
"154","AC004540.2",0.00932516071300605,3.51342607733104,0.016,0,1,2.03034367467528,"AIDA142",0.00712109136875272,3.63330474071366,14,0.0142648823603775
"157","AC004556.3",0.0183162493512644,-1.07547486099599,0.042,0.08,1,1.73716345276494,"AIDA181",0.000221782517417862,-4.98113413906841,36,0.00091150743076316
"158","AC004584.3",0.0446479774715348,-3.25602769347386,0.001,0.013,1,1.35019820962754,"AIDA098",0.000413680368058637,-4.3666686893737,5,0.00151797085141275
"160","AC004593.3",0.0104554941877569,-4.0047867930376,0,0.016,1,1.98065543506596,"AIDA062",0.0151311359458272,-4.0047867930376,5,0.026166858354253
"161","AC004687.1",0.0666535442656695,0.378627745475573,0.354,0.301,1,1.17617675226516,"AIDA072",1.44411460142178e-13,-1.66439492078849,106,4.06543302749968e-12
"167","AC004771.3",0.634445103747481,-1.08148490667879,0.008,0.012,1,0.197605949882847,"AIDA099",0.000112149913874936,3.79724188906078,54,0.00052798271440252
"168","AC004771.4",0.15983261471309,1.65250315125322,0.011,0.003,1,0.796334595831381,"AIDA011",0.019866349935221,3.05414314862337,7,0.0327148235915504
"171","AC004801.6",0.397779092670339,1.12463097693927,0.024,0,1,0.400358047195798,"AIDA172",0.015254565250465,-4.44136125005697,2,0.0263335565480115
"172","AC004803.1",0.158532249218048,-1.9913921333442,0,0.01,1,0.79988237866512,"AIDA047",0.0107856881948545,3.06348059742723,42,0.0198672458135364
"173","AC004812.2",0.148929451711654,-1.15590852722037,0.017,0.038,1,0.827019409359648,"AIDA140",0.0295888641017052,-3.05315239710753,114,0.0453054045087887
"174","AC004816.1",0.000679391419147028,-4.49155218335244,0,0.012,1,3.16787994265973,"AIDA099",0.000414747428149684,-4.49155218335244,5,0.00152131324567576
"175","AC004817.3",0.811802426989621,0.215739045465334,0.011,0.009,1,0.0905496546365895,"AIDA060",8.34280135169822e-05,3.61240685106603,41,0.000415349126328733
